text,label
agree.,non-offensive
I guess looking at interannotator metrics such as fleiss kappa may be useful to understand how consistent they are? You could look at some kind of document similarity to infer information about the related pages?,non-offensive
Tried and tested 😂😂😂,non-offensive
setiap lihat teman2ku baru main hades and they’re feeing horny for no reason yeah that’s the point babe this game and the fandom are so horny,offensive
Free Britney,non-offensive
Correction: Eastern WA will see *smoke from the #LavaFire in CA,non-offensive
Fuckof,offensive
literally,non-offensive
feeling so sexy and principled at my horrifically corrupt and unfulfilling blue collar job,offensive
VOTE FOR CHANGBIN RN,non-offensive
"if I'm louder, would you see me??????",non-offensive
Snitches,offensive
Wait what do you mean and a head-,non-offensive
Go to @user,non-offensive
hi loml,non-offensive
"I met my GF in Feb 20 just before the madness ensued. It has been a long distance relationship since, me in Dublin and her in Mexico, with visits in between. Hopefully we can be together long term soon.",non-offensive
the only thing i can imagine is him sitting on it,non-offensive
"omg I feel acknowledged, that dollar or whatever was worth it",non-offensive
what’s this 😂😂😂,non-offensive
Bloody awesome!,non-offensive
I still canr believe it.😭😭😭😭😭,non-offensive
I will NOT associate with that nor tolerate it. A shitty human being on top of a lazy one with no work ethic who liked to leach off the success/potential of others. Truly disgusting.,offensive
im tired too but this is so entertaining i cant,non-offensive
Great thought,non-offensive
yeah you do 💔,non-offensive
Anyone getting married or recently married watch it 🤸,non-offensive
thank you for the follow,non-offensive
Idk Why I’m Even Doing This Shit Again It’s A Loss Loss Situation I’m Bout To Slowly Go M.I.A All Jokes Aside,offensive
Do we have tags for aespa perf on wcif today?,non-offensive
People 😋,non-offensive
no but fr they rlly had a 6+ hour standoff with a fucking snake and never once said “yk lets just shoot it” its not like we need that thing alive nor should that child be given back his “pet”,offensive
Louis Burns - Young Mopes,non-offensive
likes are public??,non-offensive
/ everywhere i go i see his face,non-offensive
"Wow. 121 celsius, surprised all of BC not fried 

:wink:",non-offensive
Haa i understood. Chill just animes.. we all have our own favs..,non-offensive
tempered emotion?,non-offensive
Great African..Please check out our website at http,non-offensive
so much black,non-offensive
muge is so ungrateful and cringey bro,offensive
Baret,non-offensive
I hate that game..,offensive
Good one bro,non-offensive
Twitter down,non-offensive
So cutest damn thing like you got two sexy it..👌😍😎✌🏻,offensive
beautiful,non-offensive
"HOTTEST CONTENT🔥🔥 SEXY POSTURES 🥵🥵
It worth more then of now, get more subscribers by getting featured with us💫
And get limelight ✨of 5 million+ network 
DM us love❤️❤️
http",non-offensive
Plugnet for the win... 🤑🤑,non-offensive
Absolutely fuckin gorgeous 😍,offensive
"Even if they didn’t exploit people to acquire their riches, how are you gonna be okay literally wasting thousands and thousands of dollars while there are still people who are homeless? While there are people skipping life saving medical treatments bc of the cost?",non-offensive
"A huge thank you to Thomas Lemberger and Sara Monaco for the great discussion on @user at the YIP Annual Meeting yesterday!
#YIPAnnual2021",non-offensive
"Coalition Motorbike Strike Monywa
#July1Coup 
#WhatsHappeningInMyanmar
#MilkTeaAlliance http",non-offensive
Dude you could've just saved the image as a png,offensive
